timestamp,service,rps,cpu_usage,memory_usage,latency_p90,error_rate,client_error_rate,kafka_lag,label
2026-06-01 00:00:00,frontend,22.02805788947444,0.13714290072038965,0.3239677997067511,0.05996236568489917,0.000882923312638332,0.0018126904344406556,0.0,1
2026-06-01 00:05:00,frontend,27.108998711004247,0.19258973387965395,0.3041650116368031,0.05498145531725035,0.0007682911535937689,0.0016274161971437946,0.0,1
2026-06-01 00:10:00,frontend,15.924249532700586,0.0361844868325113,0.27346376811608963,0.04245873422214887,0.0004935844398327881,0.002251397866076219,0.0,1
2026-06-01 00:15:00,frontend,5.149148955985362,0.03968311284520616,0.33188754985642377,0.040635248431358746,0.001033764102343962,0.0008602014510292345,0.0,1
2026-06-01 00:20:00,frontend,9.938814022698475,0.12542375753089025,0.2819495354629032,0.5417457755498424,0.0,0.0,0.0,1
2026-06-01 00:25:00,frontend,21.102443843035356,0.23481879691151764,0.310281277426759,0.040755494834651344,0.0014112724560515946,0.0010233250800231822,0.0,1
2026-06-01 00:30:00,frontend,13.69505129219608,0.029406596390403397,0.2802838046681294,0.04682094941545354,0.0013692332899977052,0.0021370946249519764,0.0,1
2026-06-01 00:35:00,frontend,19.860776946576532,0.12466636911368864,0.2803599486659397,0.04276744561270963,0.0007696806145201063,0.0028456977809751326,0.0,1
2026-06-01 00:40:00,frontend,30.33565418019524,0.07251930059225381,0.3216495064779935,0.049122864616202376,0.0006615389998470206,0.0024893410310726943,0.0,1
2026-06-01 00:45:00,frontend,22.572727493708758,0.19170946094322744,0.2945020132824016,0.04675503074050991,0.001165631715701782,0.0027804361016978874,0.0,1
2026-06-01 00:50:00,frontend,5.85112781218658,0.1024193067911823,0.2807988644259727,0.03474326190955379,0.001406262911197099,0.0030849920228566583,0.0,1
2026-06-01 00:55:00,frontend,10.74185884816146,0.17166036259092415,0.3126036499250334,0.04001023789098611,0.001180697802754207,0.0032304292531727752,0.0,1
2026-06-01 01:00:00,frontend,14.070215224916252,0.20637261324053283,0.25464020553066324,0.051253361824045274,0.0010435235341190855,0.001760794119627306,0.0,1
