timestamp,rps,error_rate,client_error_rate,latency_p90,kafka_lag,cpu_usage,memory_usage,service,label
2026-07-28 16:02:27,159.1197416362226,2.0245628661341373,0.0,68.1815947550718,0.0,0.0,0.0,frontend,-1
2026-07-28 16:07:27,166.24101538640184,8.250151241312347,0.0,85.99258475720939,0.0,0.0,0.0,frontend,-1
2026-07-28 16:12:27,92.12486491666668,0.55,0.0,41.46017510143069,0.0,0.0,0.0,frontend,-1
2026-07-28 16:32:27,92.79621998424992,0.075000312501302,0.0,44.40568330529072,0.0,0.0,0.0,frontend,-1
2026-07-28 17:07:27,93.77976557407406,0.5006986111111111,0.0,185.2466356910596,0.0,0.0,0.0,frontend,-1
2026-07-28 17:12:27,31.565956866166704,0.1166663541679687,0.0,68.79311247206377,0.0,0.0,0.0,frontend,-1
2026-07-28 19:52:27,70.16637430677372,0.074999687501302,0.0,38.75453446191053,0.0,0.0,0.0,frontend,-1
2026-07-28 19:57:27,68.9125,0.5499999999999999,0.0,43.12506887052339,0.0,0.0,0.0,frontend,-1
2026-07-28 22:07:27,155.69165176334346,0.2172221741748748,0.0,95.96471845745091,0.0,0.0,0.0,frontend,-1
2026-07-28 22:12:27,214.69008762706292,0.3100168218764187,0.0,77.10036543330557,0.0,0.0,0.0,frontend,-1
2026-07-28 22:17:27,86.1626921274016,0.1497981953941091,0.0,72.52432807419495,0.0,0.0,0.0,frontend,-1
